date,time,hour,tempF,temp
6/22/2018,9:53:00,9,88,31.11111111
6/22/2018,10:53:00,10,88,31.11111111
6/22/2018,11:53:00,11,91,32.77777778
6/22/2018,12:53:00,12,92,33.33333333
6/22/2018,13:53:00,13,93,33.88888889
6/22/2018,14:53:00,14,94,34.44444444
6/22/2018,15:53:00,15,94,34.44444444
6/22/2018,16:53:00,16,93,33.88888889
6/22/2018,17:53:00,17,89,31.66666667
6/22/2018,18:53:00,18,86,30
6/22/2018,19:53:00,19,84,28.88888889
6/22/2018,20:53:00,20,81,27.22222222
6/22/2018,21:53:00,21,80,26.66666667
6/22/2018,22:53:00,22,79,26.11111111
6/22/2018,23:53:00,23,78,25.55555556
6/23/2018,0:53:00,0,77,25
6/23/2018,1:53:00,1,76,24.44444444
6/23/2018,2:53:00,2,76,24.44444444
6/23/2018,3:53:00,3,76,24.44444444
6/23/2018,4:53:00,4,76,24.44444444
6/23/2018,5:29:00,5,77,25
6/23/2018,5:51:00,5,77,25
6/23/2018,5:53:00,5,77,25
6/23/2018,6:53:00,6,81,27.22222222
6/23/2018,7:53:00,7,84,28.88888889
6/23/2018,8:51:00,8,88,31.11111111
6/23/2018,8:53:00,8,87,30.55555556
6/23/2018,9:08:00,9,87,30.55555556
6/23/2018,9:53:00,9,89,31.66666667
6/23/2018,10:53:00,10,90,32.22222222
6/23/2018,11:53:00,11,92,33.33333333
6/23/2018,12:53:00,12,92,33.33333333
6/23/2018,13:53:00,13,91,32.77777778
6/23/2018,14:53:00,14,91,32.77777778
6/23/2018,15:53:00,15,89,31.66666667
6/23/2018,16:53:00,16,89,31.66666667
6/23/2018,17:53:00,17,86,30
6/23/2018,18:53:00,18,85,29.44444444
6/23/2018,19:53:00,19,83,28.33333333
6/23/2018,20:53:00,20,81,27.22222222
6/23/2018,21:53:00,21,81,27.22222222
6/23/2018,22:53:00,22,81,27.22222222
6/23/2018,23:53:00,23,81,27.22222222
6/24/2018,0:53:00,0,81,27.22222222
6/24/2018,1:53:00,1,81,27.22222222
6/24/2018,2:53:00,2,80,26.66666667
6/24/2018,3:53:00,3,79,26.11111111
6/24/2018,4:53:00,4,79,26.11111111
6/24/2018,5:53:00,5,78,25.55555556
6/24/2018,6:53:00,6,83,28.33333333
6/24/2018,7:53:00,7,85,29.44444444
6/24/2018,8:53:00,8,87,30.55555556
6/24/2018,9:53:00,9,88,31.11111111
6/24/2018,10:53:00,10,90,32.22222222
6/24/2018,11:53:00,11,90,32.22222222
6/24/2018,12:53:00,12,91,32.77777778
6/24/2018,13:53:00,13,91,32.77777778
6/24/2018,14:53:00,14,90,32.22222222
6/24/2018,15:53:00,15,89,31.66666667
6/24/2018,16:53:00,16,88,31.11111111
6/24/2018,17:53:00,17,87,30.55555556
6/24/2018,18:53:00,18,84,28.88888889
6/24/2018,19:53:00,19,83,28.33333333
6/24/2018,20:53:00,20,82,27.77777778
6/24/2018,21:53:00,21,81,27.22222222
6/24/2018,22:53:00,22,81,27.22222222
6/24/2018,23:53:00,23,81,27.22222222
6/25/2018,0:53:00,0,81,27.22222222
6/25/2018,1:53:00,1,81,27.22222222
6/25/2018,2:53:00,2,81,27.22222222
6/25/2018,3:53:00,3,81,27.22222222
6/25/2018,4:53:00,4,80,26.66666667
6/25/2018,5:53:00,5,80,26.66666667
6/25/2018,6:53:00,6,82,27.77777778
6/25/2018,7:53:00,7,86,30
6/25/2018,8:53:00,8,86,30
6/25/2018,9:53:00,9,89,31.66666667
6/25/2018,10:51:00,10,86,30
6/25/2018,10:53:00,10,83,28.33333333
6/25/2018,10:57:00,10,81,27.22222222
6/25/2018,11:04:00,11,82,27.77777778
6/25/2018,11:38:00,11,86,30
6/25/2018,11:53:00,11,89,31.66666667
6/25/2018,12:53:00,12,89,31.66666667
6/25/2018,13:53:00,13,90,32.22222222
6/25/2018,14:53:00,14,92,33.33333333
